All India CPI(UNME),,
,,
Month,Urban Non-,
,Manual,
,Employees,
,(UNME),
,(Base:,
,1960=100),
Jan-61,100,
Feb-61,100,
Mar-61,101,
Apr-61,102,
May-61,102,
Jun-61,103,
Jul-61,104,
Aug-61,104,
Sep-61,104,
Oct-61,105,
Nov-61,105,
Dec-61,104,
Jan-62,104,
Feb-62,104,
Mar-62,105,
Apr-62,105,
May-62,106,
Jun-62,107,
Jul-62,108,
Aug-62,109,
Sep-62,109,
Oct-62,110,
Nov-62,109,
Dec-62,108,
Jan-63,108,
Feb-63,108,
Mar-63,109,
Apr-63,109,
May-63,110,
Jun-63,111,
Jul-63,113,
Aug-63,113,
Sep-63,114,
Oct-63,114,
Nov-63,114,
Dec-63,115,
Jan-64,115,
Feb-64,116,
Mar-64,117,
Apr-64,118,
May-64,119,
Jun-64,121,
Jul-64,123,
Aug-64,124,
Sep-64,126,
Oct-64,127,
Nov-64,127,
Dec-64,127,
Jan-65,127,
Feb-65,126,
Mar-65,125,
Apr-65,126,
May-65,126,
Jun-65,128,
Jul-65,131,
Aug-65,133,
Sep-65,133,
Oct-65,133,
Nov-65,134,
Dec-65,134,
Jan-66,134,
Feb-66,134,
Mar-66,135,
Apr-66,137,
May-66,139,
Jun-66,142,
Jul-66,144,
Aug-66,145,
Sep-66,146,
Oct-66,147,
Nov-66,148,
Dec-66,140,
Jan-67,149,
Feb-67,150,
Mar-67,151,
Apr-67,152,
May-67,154,
Jun-67,158,
Jul-67,160,
Aug-67,161,
Sep-67,161,
Oct-67,163,
Nov-67,162,
Dec-67,159,
Jan-68,161,
Feb-68,160,
Mar-68,158,
Apr-68,159,
May-68,159,
Jun-68,160,
Jul-68,161,
Aug-68,163,
Sep-68,165,
Oct-68,164,
Nov-68,162,
Dec-68,160,
Jan-69,160,
Feb-69,160,
Mar-69,161,
Apr-69,162,
May-69,163,
Jun-69,166,
Jul-69,168,
Aug-69,169,
Sep-69,169,
Oct-69,168,
Nov-69,167,
Dec-69,168,
Jan-70,168,
Feb-70,168,
Mar-70,170,
Apr-70,170,
May-70,171,
Jun-70,174,
Jul-70,175,
Aug-70,175,
Sep-70,176,
Oct-70,177,
Nov-70,177,
Dec-70,175,
Jan-71,174,
Feb-71,174,
Mar-71,174,
Apr-71,174,
May-71,175,
Jun-71,176,
Jul-71,178,
Aug-71,181,
Sep-71,183,
Oct-71,185,
Nov-71,183,
Dec-71,182,
Jan-72,182,
Feb-72,183,
Mar-72,184,
Apr-72,185,
May-72,185,
Jun-72,189,
Jul-72,192,
Aug-72,192,
Sep-72,193,
Oct-72,194,
Nov-72,194,
Dec-72,194,
Jan-73,195,
Feb-73,196,
Mar-73,199,
Apr-73,202,
May-73,207,
Jun-73,211,
Jul-73,216,
Aug-73,218,
Sep-73,219,
Oct-73,223,
Nov-73,226,
Dec-73,228,
Jan-74,231,
Feb-74,233,
Mar-74,238,
Apr-74,244,
May-74,251,
Jun-74,256,
Jul-74,262,
Aug-74,270,
Sep-74,279,
Oct-74,282,
Nov-74,283,
Dec-74,282,
Jan-75,280,
Feb-75,278,
Mar-75,277,
Apr-75,278,
May-75,281,
Jun-75,283,
Jul-75,280,
Aug-75,280,
Sep-75,280,
Oct-75,280,
Nov-75,280,
Dec-75,276,
Jan-76,271,
Feb-76,267,
Mar-76,265,
Apr-76,267,
May-76,268,
Jun-76,270,
Jul-76,275,
Aug-76,277,
Sep-76,279,
Oct-76,280,
Nov-76,280,
Dec-76,280,
Jan-77,282,
Feb-77,284,
Mar-77,285,
Apr-77,286,
May-77,289,
Jun-77,291,
Jul-77,295,
Aug-77,297,
Sep-77,299,
Oct-77,299,
Nov-77,300,
Dec-77,301,
Jan-78,300,
Feb-78,296,
Mar-78,297,
Apr-78,298,
May-78,300,
Jun-78,303,
Jul-78,306,
Aug-78,306,
Sep-78,309,
Oct-78,310,
Nov-78,310,
Dec-78,308,
Jan-79,307,
Feb-79,304,
Mar-79,308,
Apr-79,311,
May-79,314,
Jun-79,318,
Jul-79,325,
Aug-79,329,
Sep-79,332,
Oct-79,333,
Nov-79,334,
Dec-79,341,
Jan-80,341,
Feb-80,341,
Mar-80,343,
Apr-80,345,
May-80,350,
Jun-80,355,
Jul-80,363,
Aug-80,368,
Sep-80,370,
Oct-80,375,
Nov-80,378,
Dec-80,376,
Jan-81,378,
Feb-81,382,
Mar-81,385,
Apr-81,391,
May-81,396,
Jun-81,401,
Jul-81,411,
Aug-81,417,
Sep-81,418,
Oct-81,420,
Nov-81,421,
Dec-81,420,
Jan-82,421,
Feb-82,420,
Mar-82,423,
Apr-82,425,
May-82,428,
Jun-82,433,
Jul-82,442,
Aug-82,448,
Sep-82,449,
Oct-82,450,
Nov-82,452,
Dec-82,452,
Jan-83,455,
Feb-83,458,
Mar-83,462,
Apr-83,467,
May-83,472,
Jun-83,479,
Jul-83,487,
Aug-83,492,
Sep-83,495,
Oct-83,498,
Nov-83,500,
Dec-83,500,
Jan-84,504,
Feb-84,503,
Mar-84,505,
Apr-84,510,
May-84,514,
Jun-84,523,
Jul-84,533,
Aug-84,537,
Sep-84,538,
Oct-84,540,
Nov-84,541,
Dec-84,537,
Jan-85,538,
Feb-85,537,
Mar-85,540,
Apr-85,546,
May-85,552,
Jun-85,556,
Jul-85,565,
Aug-85,570,
Sep-85,569,
Oct-85,573,
Nov-85,575,
Dec-85,574,
Jan-86,577,
Feb-86,579,
Mar-86,584,
Apr-86,587,
May-86,592,
Jun-86,599,
Jul-86,608,
Aug-86,613,
Sep-86,615,
Oct-86,622,
Nov-86,625,
Dec-86,622,
Jan-87,625,
Feb-87,624,
Mar-87,625,
Apr-87,630,
May-87,638,
Jun-87,645,
Jul-87,658,
Aug-87,670,
Sep-87,674,
Oct-87,680,
,(Base :,
,1984-85=100),
Nov-87,128,
Dec-87,128,
Jan-88,129,
Feb-88,128,
Mar-88,129,
Apr-88,131,
May-88,131,
